대표음,급수,한자,대표훈음,부수,획수,총획,음표
가,72,家,집 가,宀,7,10,
간,72,間,사이 간(:),門,4,12,(:)
강,72,江,강 강,水,3,6,
거,72,車,수레 거 | 수레 차,車,0,7,
공,72,工,장인 공,工,0,3,
공,72,空,빌 공,穴,3,8,
기,72,氣,기운 기,气,6,10,
기,72,記,기록할 기,言,3,10,
남,72,男,사내 남,田,2,7,
내,72,內,안 내:,入,2,4,:
농,72,農,농사 농,辰,6,13,
답,72,答,대답 답,竹,6,12,
도,72,道,길 도:,辵,9,13,:
동,72,動,움직일 동:,力,9,11,:
력,72,力,힘 력,力,0,2,
립,72,立,설 립,立,0,5,
매,72,每,매양 매(:),毋,3,7,(:)
명,72,名,이름 명,口,3,6,
물,72,物,물건 물,牛,4,8,
방,72,方,모[棱] 방,方,0,4,
불,72,不,아닐 불,一,3,4,
사,72,事,일 사:,亅,7,8,:
상,72,上,윗  상:,一,2,3,:
성,72,姓,성 성:,女,5,8,:
세,72,世,인간 세:,一,4,5,:
수,72,手,손 수(:),手,0,4,(:)
시,72,時,때 시,日,6,10,
시,72,市,저자 시:,巾,2,5,:
식,72,食,밥/먹을 식,食,0,9,
안,72,安,편안 안,宀,3,6,
오,72,午,낮 오:,十,2,4,:
우,72,右,오를/오른(쪽) 우:,口,2,5,:
자,72,子,아들 자,子,0,3,
자,72,自,스스로 자,自,0,6,
장,72,場,마당 장,土,9,12,
전,72,電,번개 전:,雨,5,13,:
전,72,前,앞 전,刀,7,9,
전,72,全,온전 전,入,4,6,
정,72,正,바를 정(:),止,1,5,(:)
족,72,足,발 족,足,0,7,
좌,72,左,왼 좌:,工,2,5,:
직,72,直,곧을 직,目,3,8,
평,72,平,평평할 평,干,2,5,
하,72,下,아래 하:,一,2,3,:
한,72,漢,한수/한나라 한:,水,11,14,:
해,72,海,바다 해:,水,7,10,:
화,72,話,말씀 화,言,6,13,
활,72,活,살 활,水,6,9,
효,72,孝,효도 효:,子,4,7,:
후,72,後,뒤 후:,彳,6,9,:
