대표음,급수,한자,대표훈음,부수,획수,총획,음표
각,62,各,각각 각,口,3,6,
각,62,角,뿔 각,角,0,7,
계,62,界,지경 계:,田,4,9,:
계,62,計,셀 계:,言,2,9,:
고,62,高,높을 고,高,0,10,
공,62,公,공평할 공,八,2,4,
공,62,共,한가지 공:,八,4,6,:
공,62,功,공[勳] 공,力,3,5,
과,62,果,실과 과:,木,4,8,:
과,62,科,과목 과,禾,4,9,
광,62,光,빛 광,儿,4,6,
구,62,球,공 구,玉,7,11,
금,62,今,이제 금,人,2,4,
급,62,急,급할 급,心,5,9,
단,62,短,짧을 단(:),矢,7,12,(:)
당,62,堂,집 당,土,8,11,
대,62,代,대신할 대:,人,3,5,:
대,62,對,대할 대:,寸,11,14,:
도,62,圖,그림 도,囗,11,14,
독,62,讀,읽을 독 | 구절 두,言,15,22,
동,62,童,아이 동(:),立,7,12,(:)
등,62,等,무리 등:,竹,6,12,:
락,62,樂,즐길 락 | 노래 악 | 좋아할 요,木,11,15,
리,62,利,이할 리:,刀,5,7,:
리,62,理,다스릴 리:,玉,7,11,:
명,62,明,밝을 명,日,4,8,
문,62,聞,들을 문(:),耳,8,14,(:)
반,62,半,반(半) 반:,十,3,5,:
반,62,反,돌이킬/돌아올 반:,又,2,4,:
반,62,班,나눌 반,玉,6,10,
발,62,發,필 발,癶,7,12,
방,62,放,놓을 방(:),攴,4,8,(:)
부,62,部,떼 부,邑,8,11,
분,62,分,나눌 분(:),刀,2,4,(:)
사,62,社,모일 사,示,3,8,
서,62,書,글 서,曰,6,10,
선,62,線,줄 선,糸,9,15,
설,62,雪,눈 설,雨,3,11,
성,62,成,이룰 성,戈,3,7,
성,62,省,살필 성 | 덜 생,目,4,9,
소,62,消,사라질 소,水,7,10,
술,62,術,재주 술,行,5,11,
시,62,始,비로소 시:,女,5,8,:
신,62,身,몸 신,身,0,7,
신,62,神,귀신 신,示,5,10,
신,62,信,믿을 신:,人,7,9,:
신,62,新,새 신,斤,9,13,
약,62,弱,약할 약,弓,7,10,
약,62,藥,약 약,艸,15,19,
업,62,業,업 업,木,9,13,
용,62,勇,날랠 용:,力,7,9,:
용,62,用,쓸 용:,用,0,5,:
운,62,運,옮길 운:,辵,9,13,:
음,62,音,소리 음,音,0,9,
음,62,飮,마실 음(:),食,4,13,(:)
의,62,意,뜻 의:,心,9,13,:
작,62,作,지을 작,人,5,7,
작,62,昨,어제 작,日,5,9,
재,62,才,재주 재,手,0,3,
전,62,戰,싸움 전:,戈,12,16,:
정,62,庭,뜰 정,广,7,10,
제,62,第,차례 제:,竹,5,11,:
제,62,題,제목 제,頁,9,18,
주,62,注,부을 주:,水,5,8,:
집,62,集,모을 집,隹,4,12,
창,62,窓,창 창,穴,6,11,
청,62,淸,맑을 청,水,8,11,
체,62,體,몸 체,骨,13,23,
표,62,表,겉 표,衣,2,8,
풍,62,風,바람 풍,風,0,9,
행,62,幸,다행 행:,干,5,8,:
현,62,現,나타날 현:,玉,7,11,:
형,62,形,모양 형,彡,4,7,
화,62,和,화할 화,口,5,8,
회,62,會,모일 회:,曰,9,13,:
