대표음,급수,한자,대표훈음,부수,획수,총획,음표
교,80,校,학교 교:,木,6,10,:
교,80,敎,가르칠 교:,攴,7,11,:
구,80,九,아홉 구,乙,1,2,
국,80,國,나라 국,囗,8,11,
군,80,軍,군사 군,車,2,9,
금,80,金,쇠 금 | 성(姓) 김,金,0,8,
남,80,南,남녘 남,十,7,9,
녀,80,女,계집 녀,女,0,3,
년,80,年,해 년,干,3,6,
대,80,大,큰 대(:),大,0,3,(:)
동,80,東,동녘 동,木,4,8,
륙,80,六,여섯 륙,八,2,4,
만,80,萬,일만 만:,艸,9,13,:
모,80,母,어미 모:,毋,1,5,:
목,80,木,나무 목,木,0,4,(:)
문,80,門,문 문,門,0,8,
민,80,民,백성 민,氏,1,5,
백,80,白,흰 백,白,0,5,
부,80,父,아비 부,父,0,4,
북,80,北,북녘 북 | 달아날 배:,匕,3,5,(:)
사,80,四,넉 사:,囗,2,5,:
산,80,山,메 산,山,0,3,
삼,80,三,석 삼,一,2,3,
생,80,生,날 생,生,0,5,
서,80,西,서녘 서,襾,0,6,
선,80,先,먼저 선,儿,4,6,
소,80,小,작을 소:,小,0,3,:
수,80,水,물 수,水,0,4,
실,80,室,집 실,宀,6,9,
십,80,十,열 십,十,0,2,
오,80,五,다섯 오:,二,2,4,:
왕,80,王,임금 왕,玉,0,4,
외,80,外,바깥 외:,夕,2,5,:
월,80,月,달 월,月,0,4,
이,80,二,두 이:,二,0,2,:
인,80,人,사람 인,人,0,2,
일,80,一,한 일,一,0,1,
일,80,日,날 일,日,0,4,
장,80,長,긴 장(:),長,0,8,(:)
제,80,弟,아우 제:,弓,4,7,:
중,80,中,가운데 중,丨,3,4,
청,80,靑,푸를 청,靑,0,8,
촌,80,寸,마디 촌:,寸,0,3,:
칠,80,七,일곱 칠,一,1,2,
토,80,土,흙 토,土,0,3,
팔,80,八,여덟 팔,八,0,2,
학,80,學,배울 학,子,13,16,
한,80,韓,한국/나라 한(:),韋,8,17,(:)
형,80,兄,형 형,儿,3,5,
화,80,火,불 화(:),火,0,4,(:)
